repository,issue_number,comment_id,position_in_thread,comment_body,comment_length,author_association,user_type,created_at,updated_at,comment_url
n8n-io/n8n,34548,5022810810,4,Just updated n8n containers version from 2.21.5 to 2.31.4 and built-in LDAP working now on Windows Server 2022 Standard ldap provider. The problem can be closed.,161,NONE,User,2026-07-20T13:30:49Z,2026-07-20T13:30:49Z,https://github.com/n8n-io/n8n/issues/34548#issuecomment-5022810810
n8n-io/n8n,34389,4999395373,1,"Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!",623,CONTRIBUTOR,Bot,2026-07-17T05:43:27Z,2026-07-17T05:43:27Z,https://github.com/n8n-io/n8n/issues/34389#issuecomment-4999395373
n8n-io/n8n,34389,4999559733,2,@kenneth-urbanrest how did you make the workflow? It looks like you have an invalid node in there. ,99,MEMBER,User,2026-07-17T06:08:32Z,2026-07-17T06:08:32Z,https://github.com/n8n-io/n8n/issues/34389#issuecomment-4999559733
n8n-io/n8n,34389,4999658989,3,"Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!",623,CONTRIBUTOR,Bot,2026-07-17T06:23:32Z,2026-07-17T06:23:32Z,https://github.com/n8n-io/n8n/issues/34389#issuecomment-4999658989
n8n-io/n8n,34756,5055017194,1,"Hey @AndreaLeto00,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9058"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9058](https://linear.app/n8n/issue/GHC-9058)",497,CONTRIBUTOR,Bot,2026-07-23T06:03:12Z,2026-07-23T06:03:12Z,https://github.com/n8n-io/n8n/issues/34756#issuecomment-5055017194
n8n-io/n8n,34756,5059787064,2,"Could not replicate the issue in 2.32.3. Any step that you might have missed in how to reproduce the issue? 

<img width=""800"" height=""438"" alt=""Image"" src=""https://github.com/user-attachments/assets/8bd53bd2-4a6d-4716-9f29-2995762eb098"" />",240,CONTRIBUTOR,User,2026-07-23T14:43:33Z,2026-07-23T14:43:33Z,https://github.com/n8n-io/n8n/issues/34756#issuecomment-5059787064
n8n-io/n8n,34756,5066568126,3,"Hi, thanks for your reply.
The issue doesn't occur with the Postgres Trigger node. Instead, it happens with the Postgres node when selecting rows from the database or running a query. I've attached a video to show the issue.

https://github.com/user-attachments/assets/a037c1a6-f865-4131-85a4-fafe595461ab",305,NONE,User,2026-07-24T05:46:43Z,2026-07-24T05:46:43Z,https://github.com/n8n-io/n8n/issues/34756#issuecomment-5066568126
n8n-io/n8n,34614,5032196307,1,"Hey @HKANT100,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9034"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9034](https://linear.app/n8n/issue/GHC-9034)",493,CONTRIBUTOR,Bot,2026-07-21T09:13:48Z,2026-07-21T09:13:48Z,https://github.com/n8n-io/n8n/issues/34614#issuecomment-5032196307
n8n-io/n8n,34614,5032213150,2,"<img width=""949"" height=""562"" alt=""Image"" src=""https://github.com/user-attachments/assets/6f5d028e-7e77-480e-b32f-9fcb026fe384"" />",130,NONE,User,2026-07-21T09:15:36Z,2026-07-21T09:15:36Z,https://github.com/n8n-io/n8n/issues/34614#issuecomment-5032213150
n8n-io/n8n,34614,5043566909,3,@HKANT100 please email the support team using help@n8n.io and they will be able to look into your instance to see what might be going wrong.,140,MEMBER,User,2026-07-22T08:22:49Z,2026-07-22T08:22:49Z,https://github.com/n8n-io/n8n/issues/34614#issuecomment-5043566909
n8n-io/n8n,34545,5020837803,1,"Hey @lucianodsantana,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9023"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9023](https://linear.app/n8n/issue/GHC-9023)",500,CONTRIBUTOR,Bot,2026-07-20T09:40:39Z,2026-07-20T09:40:39Z,https://github.com/n8n-io/n8n/issues/34545#issuecomment-5020837803
n8n-io/n8n,34545,5021006633,2,"Our n8n instance is currently running version 2.20.11 (Cloud), which is approximately 10 versions behind the current release.

We are experiencing recurring Task Runner timeout errors:

Task request timed out after 20 seconds

We have already optimized the workflow and verified that the issue is not related to workflow logic. The errors occur while waiting for a Task Runner to execute Code nodes.

Could you please:

Update our instance to the latest stable version.
Verify that the Task Runner service is healthy.
Check whether there are any known issues affecting version 2.20.11.
Confirm whether the update includes fixes related to Task Runners or Code node execution.


Based on the troubleshooting performed, I believe the issue is related to the Task Runner service rather than the workflow itself.

I would appreciate if you could verify the following:

Check whether the JavaScript Task Runner is running correctly and accepting new tasks.
Restart the Task Runner service assigned to my instance.
Verify whether my instance is experiencing Task Runner capacity issues.
Check for any known bugs affecting n8n Cloud 2.20.11 related to Task Runners.
If available, upgrade my instance to the latest stable version of n8n.
Verify whether the timeout is being reached before the Task Runner actually starts processing the request.
If necessary, increase the N8N_RUNNERS_TASK_REQUEST_TIMEOUT value for my instance.
Review the Task Runner logs for my instance to identify why requests expire after exactly 20 seconds.

The workflow itself has already been validated:

The error occurs even with a Code node containing only:
return items;
The previous nodes execute successfully.
The timeout happens before the JavaScript code begins execution.

For these reasons, I believe this is an infrastructure or Task Runner availability issue rather than a workflow implementation problem.

<img width=""295"" height=""372"" alt=""Image"" src=""https://github.com/user-attachments/assets/b968f675-67e3-4a37-b842-11c0af83da79"" />",2016,NONE,User,2026-07-20T10:01:26Z,2026-07-20T10:01:26Z,https://github.com/n8n-io/n8n/issues/34545#issuecomment-5021006633
n8n-io/n8n,34545,5023557955,3,@lucianodsantana Please email the support team using help@n8n.io and they will be able to look into the instance for you. It is likely an issue with the instance and not something we can fix here.,196,MEMBER,User,2026-07-20T14:45:48Z,2026-07-20T14:45:48Z,https://github.com/n8n-io/n8n/issues/34545#issuecomment-5023557955
n8n-io/n8n,34815,5061792460,1,"Hey @mariano-veron-osanasalud,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9063"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9063](https://linear.app/n8n/issue/GHC-9063)",509,CONTRIBUTOR,Bot,2026-07-23T18:11:27Z,2026-07-23T18:11:27Z,https://github.com/n8n-io/n8n/issues/34815#issuecomment-5061792460
n8n-io/n8n,34815,5062898097,2,@mariano-veron-osanasalud Looking at your video you have manually executed the node but the trigger node is a Slack trigger so that node will be waiting for an event before starting. Can you try using a manual trigger node for now or send an event in Slack to make sure the trigger starts.,289,MEMBER,User,2026-07-23T20:11:07Z,2026-07-23T20:11:07Z,https://github.com/n8n-io/n8n/issues/34815#issuecomment-5062898097
n8n-io/n8n,34815,5063071728,3,"@mariano-veron-osanasalud I have just tested this and it does appear to be what I thought based on your video.

I am going to close this for now as it doesn't look to be a bug. If you see the same issue after the trigger has executed let me know and we can open this again. ",274,MEMBER,User,2026-07-23T20:27:39Z,2026-07-23T20:27:39Z,https://github.com/n8n-io/n8n/issues/34815#issuecomment-5063071728
n8n-io/n8n,34837,5065592605,1,"Hey @mauimparato,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9068"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9068](https://linear.app/n8n/issue/GHC-9068)",496,CONTRIBUTOR,Bot,2026-07-24T02:35:48Z,2026-07-24T02:35:48Z,https://github.com/n8n-io/n8n/issues/34837#issuecomment-5065592605
n8n-io/n8n,34837,5065913497,2,@mauimparato please email help@n8n.io and the support team will be able to look at your instance to see what is happening. ,123,MEMBER,User,2026-07-24T03:41:45Z,2026-07-24T03:41:45Z,https://github.com/n8n-io/n8n/issues/34837#issuecomment-5065913497
n8n-io/n8n,34837,5065939463,3,"Just to quickly add, I have let the support team know you will be in touch. Sadly this isn't something we will be able to fix from here as it is likely to be something with the cloud instance rather than a general bug that we can fix here.",239,MEMBER,User,2026-07-24T03:47:17Z,2026-07-24T03:47:17Z,https://github.com/n8n-io/n8n/issues/34837#issuecomment-5065939463
n8n-io/n8n,34818,5063058792,1,"Hey @Vission01,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9065"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9065](https://linear.app/n8n/issue/GHC-9065)",494,CONTRIBUTOR,Bot,2026-07-23T20:26:21Z,2026-07-23T20:26:21Z,https://github.com/n8n-io/n8n/issues/34818#issuecomment-5063058792
n8n-io/n8n,34818,5067987554,2,Hi! I'd like to work on this issue. I have experience with AI/ML projects and this aligns well with my skills. I'll submit a PR soon! 🚀,135,NONE,User,2026-07-24T08:50:58Z,2026-07-24T08:50:58Z,https://github.com/n8n-io/n8n/issues/34818#issuecomment-5067987554
n8n-io/n8n,34818,5069153096,3,@eslam-ahmed43 It looks like we already have a fix in place for this issue.,75,MEMBER,User,2026-07-24T11:04:10Z,2026-07-24T11:04:10Z,https://github.com/n8n-io/n8n/issues/34818#issuecomment-5069153096
n8n-io/n8n,34840,5065690038,1,"Hey @vinicius482,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9069"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9069](https://linear.app/n8n/issue/GHC-9069)",496,CONTRIBUTOR,Bot,2026-07-24T02:55:46Z,2026-07-24T02:55:46Z,https://github.com/n8n-io/n8n/issues/34840#issuecomment-5065690038
n8n-io/n8n,34840,5065915858,2,@vinicius482 please email help@n8n.io and the support team will be able to look at your instance to see what is happening. ,123,MEMBER,User,2026-07-24T03:42:18Z,2026-07-24T03:42:18Z,https://github.com/n8n-io/n8n/issues/34840#issuecomment-5065915858
n8n-io/n8n,34840,5065940515,3,"Just to quickly add, I have let the support team know you will be in touch. Sadly this isn't something we will be able to fix from here as it is likely to be something with the cloud instance rather than a general bug that we can fix here.",239,MEMBER,User,2026-07-24T03:47:30Z,2026-07-24T03:47:30Z,https://github.com/n8n-io/n8n/issues/34840#issuecomment-5065940515
n8n-io/n8n,34843,5066680572,1,"Hey @drake7707,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9070"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9070](https://linear.app/n8n/issue/GHC-9070)",494,CONTRIBUTOR,Bot,2026-07-24T06:06:25Z,2026-07-24T06:06:25Z,https://github.com/n8n-io/n8n/issues/34843#issuecomment-5066680572
n8n-io/n8n,34843,5068726849,2,"Hi @drake7707 
This has been fixed in the latest version 2.32.x",63,CONTRIBUTOR,User,2026-07-24T10:20:38Z,2026-07-24T10:20:38Z,https://github.com/n8n-io/n8n/issues/34843#issuecomment-5068726849
n8n-io/n8n,34823,5063993852,1,"Hey @chriseberman1976-jpg,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9066"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9066](https://linear.app/n8n/issue/GHC-9066)",505,CONTRIBUTOR,Bot,2026-07-23T22:04:43Z,2026-07-23T22:04:43Z,https://github.com/n8n-io/n8n/issues/34823#issuecomment-5063993852
n8n-io/n8n,34823,5068841195,2,"@chriseberman1976-jpg Thanks for reporting this.

This one is a known issue with the Airtable base and table dropdowns. It was fixed in #29671, which shipped in `2.20.0`. 
The `1.123.x` line your instance is on does not include the fix, so the dropdowns keep failing with `No bridge acquired for this context`.

Could you upgrade to `2.20.0` or later and confirm the dropdowns load again? I will close this for now, but comment here if you are still hitting it after the upgrade and I will reopen.


",500,CONTRIBUTOR,User,2026-07-24T10:32:34Z,2026-07-24T10:32:34Z,https://github.com/n8n-io/n8n/issues/34823#issuecomment-5068841195
n8n-io/n8n,34812,5061344189,1,"Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!",623,CONTRIBUTOR,Bot,2026-07-23T17:21:59Z,2026-07-23T17:21:59Z,https://github.com/n8n-io/n8n/issues/34812#issuecomment-5061344189
n8n-io/n8n,34812,5061375217,2,"i edited the template can you please reopen this issue 
thanks",62,NONE,User,2026-07-23T17:25:09Z,2026-07-23T17:25:09Z,https://github.com/n8n-io/n8n/issues/34812#issuecomment-5061375217
n8n-io/n8n,34961,5080135893,1,"Hey @jeremyhboss,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9095"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9095](https://linear.app/n8n/issue/GHC-9095)",496,CONTRIBUTOR,Bot,2026-07-25T18:57:36Z,2026-07-25T18:57:36Z,https://github.com/n8n-io/n8n/issues/34961#issuecomment-5080135893
n8n-io/n8n,34961,5080655407,2,"Hi @jeremyhboss, thanks for the thorough report. We've traced what this error can and cannot mean on the server side, and that narrows things down a lot.

code_verifier does not match the challenge is only returned when the authorization code itself is valid: it exists, is unexpired, unused, and belongs to your client_id. The only way to hit it is when the code was created from a different authorization attempt than the one your mcp-remote process is waiting on. In other words, two OAuth authorization flows ran against the same server around the same time and overwrote each other's state (n8n keeps the pending authorization in a single browser cookie, and mcp-remote keeps a single code_verifier.txt per server URL, so a second flow silently replaces both). Claude Desktop on Windows is known to spawn each configured MCP server twice at startup (anthropics/claude-code#53134), which produces exactly this pattern, and mcp-remote's lockfile coordination avoids the EADDRINUSE you checked for, so a second instance can be present without a port conflict.

To confirm, could you check the following:

1. Count the processes. While Claude Desktop is running, check Task Manager for multiple node/npx processes running mcp-remote for this server (or run wmic process where ""commandline like '%mcp-remote%'"" get processid,commandline in a terminal).
2. Check the MCP log for duplicate auth flows. In Claude Desktop's logs/mcp-server-<name>.log, look for the phrase Please authorize this client by visiting appearing more than once per connection attempt, and note whether your browser opened (or you clicked) more than one consent tab.
3. Run mcp-remote debug mode. Add --debug to the mcp-remote args and retry; it writes ~/.mcp-auth/<hash>_debug.log, which records every code_verifier save/read and will show if a second flow overwrote the first one's verifier.
4. Test outside Claude Desktop. With Claude Desktop fully closed, clear .mcp-auth, then run a single instance manually in one terminal: npx -y mcp-remote@latest https://<host>/mcp-server/http 8090, and approve the consent. If this succeeds, the server-side flow (including your proxy setup) is fine and the problem is the duplicated client processes.
5. Be logged into n8n before you start. If the consent screen takes a while (for example a login redirect first), a second mcp-remote instance can time out waiting and start its own competing flow. Being pre-authenticated and approving promptly avoids that window.",2481,CONTRIBUTOR,User,2026-07-25T21:29:25Z,2026-07-25T21:29:25Z,https://github.com/n8n-io/n8n/issues/34961#issuecomment-5080655407
n8n-io/n8n,34781,5058676568,1,"Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!",623,CONTRIBUTOR,Bot,2026-07-23T13:00:59Z,2026-07-23T13:00:59Z,https://github.com/n8n-io/n8n/issues/34781#issuecomment-5058676568
n8n-io/n8n,34781,5058744749,2,"@priyadesai696 please follow the documentation that will get you most of the way there. 

Depending on your experience with managing servers it may be easier to go with n8n cloud. ",180,MEMBER,User,2026-07-23T13:07:40Z,2026-07-23T13:07:40Z,https://github.com/n8n-io/n8n/issues/34781#issuecomment-5058744749
n8n-io/n8n,34640,5034011480,1,"Hey @Anchel123,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9038"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9038](https://linear.app/n8n/issue/GHC-9038)",494,CONTRIBUTOR,Bot,2026-07-21T12:30:42Z,2026-07-21T12:30:42Z,https://github.com/n8n-io/n8n/issues/34640#issuecomment-5034011480
n8n-io/n8n,34640,5049676589,2,"It doesn’t, because you are importing a workflow that references a credential which does not exist in the instance (ID does not exist). When you open the node, we automatically select a credential of the same type, assuming one is available. This is intentional behavior and more of a feature than a bug.",304,CONTRIBUTOR,User,2026-07-22T18:04:47Z,2026-07-22T18:08:10Z,https://github.com/n8n-io/n8n/issues/34640#issuecomment-5049676589
n8n-io/n8n,34594,5027823678,1,"Hey @PareiProgramei,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9032"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9032](https://linear.app/n8n/issue/GHC-9032)",499,CONTRIBUTOR,Bot,2026-07-20T22:18:34Z,2026-07-20T22:18:34Z,https://github.com/n8n-io/n8n/issues/34594#issuecomment-5027823678
n8n-io/n8n,34594,5045624422,2,"@PareiProgramei this error is the by-design runner timeout. `TaskRequestTimeoutError` fires when no task runner accepts a Code node task within `N8N_RUNNERS_TASK_REQUEST_TIMEOUT` (~20s). The instance-wide, timestamped onset across unrelated workflows points to the task runner process being down, unreachable from the main instance, or at capacity on your deployment. It is not a Code node complexity issue.

Your instance runs on `cloudfy.live`, which is a third-party host, not n8n Cloud. We have no access to the runner health or capacity there, so this is best raised with Cloudfy support. On your side, worth checking whether the runner container is up and healthy, and whether it can reach the main instance (auth token and network).",739,CONTRIBUTOR,User,2026-07-22T12:13:01Z,2026-07-22T12:13:01Z,https://github.com/n8n-io/n8n/issues/34594#issuecomment-5045624422
n8n-io/n8n,34648,5035022415,1,"Hey @OperacionesTrego,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9042"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9042](https://linear.app/n8n/issue/GHC-9042)",501,CONTRIBUTOR,Bot,2026-07-21T14:05:19Z,2026-07-21T14:05:19Z,https://github.com/n8n-io/n8n/issues/34648#issuecomment-5035022415
n8n-io/n8n,34648,5035232671,2,@OperacionesTrego Please email help@n8n.io and the support team will be able to look into your instance.,104,MEMBER,User,2026-07-21T14:25:16Z,2026-07-21T14:25:16Z,https://github.com/n8n-io/n8n/issues/34648#issuecomment-5035232671
n8n-io/n8n,34628,5033313929,1,"Hey @nihaals,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9035"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9035](https://linear.app/n8n/issue/GHC-9035)",492,CONTRIBUTOR,Bot,2026-07-21T11:20:47Z,2026-07-21T11:20:47Z,https://github.com/n8n-io/n8n/issues/34628#issuecomment-5033313929
n8n-io/n8n,34628,5033322507,2,"After breaking down both options, I think calling `recurrenceCheck()` on activation matches what the user expects. Right now the approach used for (some) intervals is running the next interval (e.g. every hour for every n hours).",229,CONTRIBUTOR,User,2026-07-21T11:21:55Z,2026-07-21T11:21:55Z,https://github.com/n8n-io/n8n/issues/34628#issuecomment-5033322507
